size	iterative	recursive	
100	0.078	0.306
110	0.088	0.360
120	0.104	0.450
130	0.122	0.516
140	0.142	0.654
150	0.164	0.804
160	0.214	0.968
170	0.222	1.086
180	0.234	1.064
190	0.270	1.290
200	0.298	1.444
210	0.336	1.616
220	0.360	1.724
230	0.396	1.976
240	0.434	2.204
250	0.466	2.452
260	0.512	2.644
270	0.550	2.998
280	0.598	3.234
290	0.634	3.256
300	0.690	3.688
310	0.734	3.992
320	0.784	4.202
330	0.832	4.516
340	0.880	4.866
350	0.936	5.164
360	0.986	5.374
370	1.052	5.918
380	1.128	6.218
390	1.166	6.492
400	1.242	6.986
410	1.308	7.274
420	1.360	7.778
430	1.444	7.996
440	1.502	8.564
450	1.588	9.172
460	1.650	9.126
470	1.716	9.816
480	1.810	10.392
490	1.954	11.206
500	1.984	11.248
510	2.052	11.714
520	2.122	12.148
530	2.198	13.680
540	2.410	13.342
550	2.552	14.306
560	2.632	14.558
570	2.588	16.370
580	2.848	17.068
590	2.846	16.840
600	2.904	17.196
610	2.972	17.376
620	3.172	18.236
630	3.168	19.368
640	3.426	19.920
650	3.494	20.288
660	3.640	20.840
670	3.628	21.724
680	3.720	22.492
690	3.876	22.362
700	3.882	21.020
710	4.170	21.790
720	4.218	24.376
730	4.458	23.556
740	4.566	24.986
750	4.646	25.406
760	4.780	27.144
770	4.870	27.838
780	5.010	29.378
790	5.256	30.978
800	5.188	32.440
810	5.382	33.296
820	5.608	34.116
830	5.804	35.108
840	6.020	34.586
850	6.078	35.578
860	6.188	36.586
870	6.318	37.876
880	6.458	38.742
890	6.580	39.536
900	6.734	40.842
910	6.874	41.192
920	6.942	42.026
930	7.192	43.356
940	7.330	44.516
950	7.548	46.788
960	7.542	49.008
970	7.696	48.536
980	7.944	50.218
990	8.078	51.820
